Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Job-Level,Languages,URL,Description_Tokenized,Duration_Tokenized,Job_Level_Tokenized,Languages_Tokenized
Entry Level Hotel Front Desk Solution,yes,No,"C
P","The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.Report Language Availability:English (USA)",20 minutes,"Entry-Level,","French (Canada), Italian, French, Chinese Simplified, Swedish, Arabic, English (USA), English International, Latin American Spanish, German, Dutch, Norwegian, Finnish, Danish,",https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,"['The', 'Precise', 'Fit', 'Entry', 'Level', 'Hotel', 'Front', 'Desk', 'Solution', 'is', 'for', 'entry-level', 'customer', 'service', 'positions', 'in', 'the', 'hospitality', 'industry.', 'The', 'solution', 'is', 'appropriate', 'for', 'positions', 'in', 'which', 'the', 'majority', 'of', 'the', 'work', 'is', 'done', 'at', 'the', 'front', 'or', 'guest', 'check-in', 'desk.', 'Sample', 'tasks', 'may', 'include:', 'welcoming', 'guests', 'warmly,', 'issuing', 'keys', 'to', 'guests,', 'and', 'accepting', 'payment.Report', 'Language', 'Availability:English', '(USA)']","['20', 'minutes']","['Entry-Level', ',']","['French', '(', 'Canada', ')', ',', 'Italian', ',', 'French', ',', 'Chinese', 'Simplified', ',', 'Swedish', ',', 'Arabic', ',', 'English', '(', 'USA', ')', ',', 'English', 'International', ',', 'Latin', 'American', 'Spanish', ',', 'German', ',', 'Dutch', ',', 'Norwegian', ',', 'Finnish', ',', 'Danish', ',']"
Entry Level Sales Solution,yes,No,"C
P","The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.Report Language Availability:English (USA)",20 minutes,"Entry-Level,","German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic,",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,"['The', 'Precise', 'Fit', 'Entry', 'Level', 'Sales', 'Roles', 'Solution', 'is', 'for', 'entry-level', 'positions', 'in', 'which', 'employees', 'proactively', 'sell', 'products', 'or', 'services', 'to', 'customers', 'and', 'have', 'their', 'compensation', 'and/or', 'performance', 'based', 'on', 'sales', 'revenue.', 'Sample', 'tasks', 'for', 'these', 'jobs', 'include,', 'but', 'are', 'not', 'limited', 'to:', 'promoting', 'products', 'to', 'customers,', 'persuading', 'customers', 'to', 'buy', 'products,', 'and', 'completing', 'a', 'transaction', 'with', 'a', 'customer.Report', 'Language', 'Availability:English', '(USA)']","['20', 'minutes']","['Entry-Level', ',']","['German', ',', 'Italian', ',', 'Chinese', 'Simplified', ',', 'Finnish', ',', 'Danish', ',', 'English', '(', 'USA', ')', ',', 'English', 'International', ',', 'Latin', 'American', 'Spanish', ',', 'French', '(', 'Canada', ')', ',', 'French', ',', 'Dutch', ',', 'Norwegian', ',', 'Swedish', ',', 'Arabic', ',']"
Entry Level Technical Support Solution,yes,No,"P
C","The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.Report Language Availability:English (USA)",18 minutes,"Entry-Level,","Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic,",https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,"['The', 'Precise', 'Fit', 'Entry', 'Level', 'Technical', 'Support', 'Solution', 'is', 'for', 'entry-level', 'positions', 'in', 'which', 'employees', 'provide', 'technical', 'assistance', 'to', 'computer', 'users', 'in', 'a', 'contact', 'center', 'environment.', 'Sample', 'tasks', 'for', 'these', 'jobs', 'include,', 'but', 'are', 'not', 'limited', 'to:', 'answer', 'questions', 'or', 'resolve', 'computer', 'problems', 'for', 'clients', 'in', 'person,', 'via', 'telephone,', 'or', 'electronically,', 'provide', 'assistance', 'concerning', 'the', 'use', 'of', 'computer', 'hardware', 'and', 'software,', 'including', 'printing,', 'installation,', 'word', 'processing,', 'electronic', 'mail,', 'and', 'operating', 'systems.Report', 'Language', 'Availability:English', '(USA)']","['18', 'minutes']","['Entry-Level', ',']","['Latin', 'American', 'Spanish', ',', 'German', ',', 'Chinese', 'Simplified', ',', 'Finnish', ',', 'Danish', ',', 'English', '(', 'USA', ')', ',', 'English', 'International', ',', 'French', '(', 'Canada', ')', ',', 'Italian', ',', 'French', ',', 'Dutch', ',', 'Norwegian', ',', 'Swedish', ',', 'Arabic', ',']"
ETL Testing (New),yes,No,K,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'ETL', 'architecture,', 'data', 'warehousing,', 'dimensions,', 'DBMS', 'concepts', 'like', 'data', 'manipulation,', 'constraints,', 'ETL', 'testing', 'and', 'tools', 'required', 'for', 'testing.']","['9', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Executive Scenarios,yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",nan minutes,"Director, Executive, Manager,","Italian, English (USA), English International, Korean,",https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,"['Executive', 'Scenarios', 'is', 'a', 'unique', 'test', 'of', 'Managerial', 'Judgement', '-', 'an', 'individual’s', 'ability', 'to', 'decide', 'on', 'effective', 'ways', 'of', 'handling', 'real', 'life', 'situations.', 'It', 'is', 'specifically', 'designed', 'to', 'assess', 'judgement', 'in', 'Executives;', 'a', 'group', 'who', 'typically', 'has', 'significant', 'work', 'experience', 'to', 'draw', 'on.', 'It', 'consists', 'of', 'hypothetical', 'scenarios,', 'each', 'followed', 'by', 'several', 'possible', 'responses.', 'Candidates', 'rate', 'the', 'effectiveness', 'of', 'each', 'response,', 'using', 'a', '6-point', 'scale,', 'from', 'highly', 'undesirable', 'to', 'highly', 'desirable.', 'It', 'can', 'be', 'used', 'for', 'recruitment,', 'selection,', 'training', 'and', 'development,', 'performance', 'management', 'and', 'coaching', 'in', 'a', 'variety', 'of', 'functions', 'and', 'industries.', 'Reports', 'available:', 'Executive', 'Scenarios', 'Narrative', 'Report:', 'A', 'participant', 'focused', 'report', 'that', 'contains;', '-', 'Executive', 'Scenarios', 'profile', '-', 'VERY', 'detailed', 'narrative', 'feedback', 'of', 'each', 'of', 'the', '4', 'scales;', 'Managerial', 'Judgement,', 'Managing', 'Objectives,', 'People', 'Management', 'and', 'Reputation', 'Management.', '-', 'Development', 'tips', 'for', 'each', 'of', 'the', '6', 'style', 'scales;', 'Leading', 'and', 'Managing', 'the', 'work,', 'Using', 'external', 'help,', 'One-to-one,', 'Workforce,', 'Organisational', 'support,', 'Commercial', 'support.', 'Executive', 'Scenarios', 'Profile:', 'Displays', 'all', 'scores', 'on', 'these', 'scales', 'in', 'terms', 'of', 'four', 'types', 'of', 'norm', 'system;', 'T-scores,', 'Percentiles,', 'Stens', 'and', 'Grades.']","['nan', 'minutes']","['Director', ',', 'Executive', ',', 'Manager', ',']","['Italian', ',', 'English', '(', 'USA', ')', ',', 'English', 'International', ',', 'Korean', ',']"
Executive Scenarios Narrative Report,yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",nan minutes,"Director, Executive, Manager,",Standard Language,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,"['Executive', 'Scenarios', 'is', 'a', 'unique', 'test', 'of', 'Managerial', 'Judgement', '-', 'an', 'individual’s', 'ability', 'to', 'decide', 'on', 'effective', 'ways', 'of', 'handling', 'real', 'life', 'situations.', 'It', 'is', 'specifically', 'designed', 'to', 'assess', 'judgement', 'in', 'Executives;', 'a', 'group', 'who', 'typically', 'has', 'significant', 'work', 'experience', 'to', 'draw', 'on.', 'It', 'consists', 'of', 'hypothetical', 'scenarios,', 'each', 'followed', 'by', 'several', 'possible', 'responses.', 'Candidates', 'rate', 'the', 'effectiveness', 'of', 'each', 'response,', 'using', 'a', '6-point', 'scale,', 'from', 'highly', 'undesirable', 'to', 'highly', 'desirable.', 'It', 'can', 'be', 'used', 'for', 'recruitment,', 'selection,', 'training', 'and', 'development,', 'performance', 'management', 'and', 'coaching', 'in', 'a', 'variety', 'of', 'functions', 'and', 'industries.', 'Reports', 'available:', 'Executive', 'Scenarios', 'Narrative', 'Report:', 'A', 'participant', 'focused', 'report', 'that', 'contains;', '-', 'Executive', 'Scenarios', 'profile', '-', 'VERY', 'detailed', 'narrative', 'feedback', 'of', 'each', 'of', 'the', '4', 'scales;', 'Managerial', 'Judgement,', 'Managing', 'Objectives,', 'People', 'Management', 'and', 'Reputation', 'Management.', '-', 'Development', 'tips', 'for', 'each', 'of', 'the', '6', 'style', 'scales;', 'Leading', 'and', 'Managing', 'the', 'work,', 'Using', 'external', 'help,', 'One-to-one,', 'Workforce,', 'Organisational', 'support,', 'Commercial', 'support.', 'Executive', 'Scenarios', 'Profile:', 'Displays', 'all', 'scores', 'on', 'these', 'scales', 'in', 'terms', 'of', 'four', 'types', 'of', 'norm', 'system;', 'T-scores,', 'Percentiles,', 'Stens', 'and', 'Grades.']","['nan', 'minutes']","['Director', ',', 'Executive', ',', 'Manager', ',']","['Standard', 'Language']"
Executive Scenarios Profile Report,yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",nan minutes,"Director, Executive, Manager,",Standard Language,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,"['Executive', 'Scenarios', 'is', 'a', 'unique', 'test', 'of', 'Managerial', 'Judgement', '-', 'an', 'individual’s', 'ability', 'to', 'decide', 'on', 'effective', 'ways', 'of', 'handling', 'real', 'life', 'situations.', 'It', 'is', 'specifically', 'designed', 'to', 'assess', 'judgement', 'in', 'Executives;', 'a', 'group', 'who', 'typically', 'has', 'significant', 'work', 'experience', 'to', 'draw', 'on.', 'It', 'consists', 'of', 'hypothetical', 'scenarios,', 'each', 'followed', 'by', 'several', 'possible', 'responses.', 'Candidates', 'rate', 'the', 'effectiveness', 'of', 'each', 'response,', 'using', 'a', '6-point', 'scale,', 'from', 'highly', 'undesirable', 'to', 'highly', 'desirable.', 'It', 'can', 'be', 'used', 'for', 'recruitment,', 'selection,', 'training', 'and', 'development,', 'performance', 'management', 'and', 'coaching', 'in', 'a', 'variety', 'of', 'functions', 'and', 'industries.', 'Reports', 'available:', 'Executive', 'Scenarios', 'Narrative', 'Report:', 'A', 'participant', 'focused', 'report', 'that', 'contains;', '-', 'Executive', 'Scenarios', 'profile', '-', 'VERY', 'detailed', 'narrative', 'feedback', 'of', 'each', 'of', 'the', '4', 'scales;', 'Managerial', 'Judgement,', 'Managing', 'Objectives,', 'People', 'Management', 'and', 'Reputation', 'Management.', '-', 'Development', 'tips', 'for', 'each', 'of', 'the', '6', 'style', 'scales;', 'Leading', 'and', 'Managing', 'the', 'work,', 'Using', 'external', 'help,', 'One-to-one,', 'Workforce,', 'Organisational', 'support,', 'Commercial', 'support.', 'Executive', 'Scenarios', 'Profile:', 'Displays', 'all', 'scores', 'on', 'these', 'scales', 'in', 'terms', 'of', 'four', 'types', 'of', 'norm', 'system;', 'T-scores,', 'Percentiles,', 'Stens', 'and', 'Grades.']","['nan', 'minutes']","['Director', ',', 'Executive', ',', 'Manager', ',']","['Standard', 'Language']"
ExpressJS (New),yes,No,K,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'routing,', 'error', 'handling,', 'security,', 'middleware', 'and', 'performance', '&', 'reliability', 'in', 'ExpressJS.']","['7', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Filing - Names (R1),yes,No,K,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,3 minutes,"Entry-Level,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,"['This', 'test', 'measures', 'ability', 'to', 'sort', 'names', 'in', 'alphabetical', 'order.', 'Test', 'takers', 'are', 'shown', 'a', 'graphical', 'display', 'of', 'four', 'folder', 'tabs', '--', 'three', 'contain', 'alphabetized', 'names', 'and', 'one', 'is', 'blank.', 'The', 'test', 'taker', 'is', 'required', 'to', 'select', 'the', 'name', 'from', 'a', 'list', 'that', 'belongs', 'on', 'the', 'blank', 'tab.']","['3', 'minutes']","['Entry-Level', ',']","['English', '(', 'USA', ')', ',']"
Filing - Numbers,yes,No,K,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",3 minutes,"Entry-Level,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,"['This', 'test', 'measures', 'ability', 'to', 'sort', 'items', 'in', 'numerical', 'order.', 'Test', 'takers', 'are', 'shown', 'a', 'graphical', 'display', 'of', 'four', 'folder', 'tabs', '--', 'three', 'contain', 'numbers', 'and', 'one', 'is', 'blank,', 'and', 'all', 'are', 'sorted', 'in', 'numeric', 'order.', 'The', 'test', 'taker', 'is', 'required', 'to', 'select', 'the', 'number', 'from', 'a', 'list', 'that', 'belongs', 'on', 'the', 'blank', 'tab.']","['3', 'minutes']","['Entry-Level', ',']","['English', '(', 'USA', ')', ',']"
Financial Accounting (New),yes,No,K,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",9 minutes,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'ability', 'to', 'post', 'journal', 'entries,', 'classify', 'items', 'into', 'assets', 'and', 'liabilities,', 'analyze', 'financial', 'statements', 'and', 'calculate', 'financial', 'ratios.']","['9', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Supervisor', ',']","['English', '(', 'USA', ')', ',']"
Financial and Banking Services (New),yes,No,K,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",9 minutes,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'investment', 'products,', 'banking', 'products,', 'taxation', 'and', 'principles', 'of', 'Macroeconomics.']","['9', 'minutes']","['Graduate', ',', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Supervisor', ',']","['English', '(', 'USA', ')', ',']"
Fire Engineering (New),yes,No,K,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'fire', 'engineering', 'principles,', 'basic', 'workplace', 'safety', 'and', 'safety', 'management.']","['10', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Following Instructions v1 - UK (R1),yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8 minutes,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English International,",https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,"['This', 'test', 'measures', 'a', ""candidate's"", 'ability', 'to', 'follow', 'detailed', 'instructions', 'and', 'then', 'select', 'the', 'correct', 'course', 'of', 'action.', 'Candidates', 'are', 'presented', 'with', 'a', 'set', 'of', 'rules', 'and', 'need', 'to', 'choose', 'the', 'appropriate', 'response', 'for', 'various', 'situations', 'based', 'on', 'the', 'rules', 'given.']","['8', 'minutes']","['Entry-Level', ',', 'Front', 'Line', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', 'International', ',']"
Following Instructions v1 - US (R2),yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8 minutes,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,"['This', 'test', 'measures', 'a', ""candidate's"", 'ability', 'to', 'follow', 'detailed', 'instructions', 'and', 'then', 'select', 'the', 'correct', 'course', 'of', 'action.', 'Test', 'takers', 'are', 'presented', 'with', 'a', 'set', 'of', 'rules', 'and', 'need', 'to', 'choose', 'the', 'appropriate', 'response', 'for', 'various', 'situations', 'based', 'on', 'the', 'rules', 'given.']","['8', 'minutes']","['Entry-Level', ',', 'Front', 'Line', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Food and Beverage Services (New),yes,No,K,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",7 minutes,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'meal', 'planning,', 'service', 'preparation,', 'types', 'of', 'service', 'equipment,', 'and', 'types', 'of', 'beverages.']","['7', 'minutes']","['Graduate', ',', 'Manager', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Supervisor', ',']","['English', '(', 'USA', ')', ',']"
Food Science (New),yes,No,K,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",6 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'food', 'chemistry,', 'nutrition,', 'food', 'microbiology,', 'food', 'engineering', 'and', 'food', 'product', 'technology.']","['6', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Front Office Management (New),yes,No,K,Multi-choice test that measures the knowledge of front office operations.,7 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'front', 'office', 'operations.']","['7', 'minutes']","['Entry-Level', ',', 'Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Fundamentals of Chemistry (New),yes,No,K,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",8 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'physical', 'chemistry,', 'inorganic', 'chemistry', 'and', 'organic', 'chemistry.']","['8', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Fundamentals of Physics (New),yes,No,K,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",8 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'classical', 'mechanics,', ""Newton's"", 'laws', 'of', 'motion,', 'electromagnetism,', 'EM', 'waves,', 'thermodynamics', 'and', 'modern', 'physics.']","['8', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
General Diseases (New),yes,No,K,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.",5 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'common', 'diseases', 'of', 'ear,', 'nose,', 'throat', 'and', 'teeth,', 'their', 'symptoms,', 'drugs', 'used', 'to', 'treat', 'them', 'and', 'various', 'drugs', 'used', 'to', 'relieve', 'pain.']","['5', 'minutes']","['Graduate', ',', 'Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
Geoinformatics Engineering (New),yes,No,K,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",10 minutes,"Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'remote', 'sensing,', 'digital', 'image', 'processing,', 'digital', 'photogrammetry,', 'planning', 'and', 'surveying,', 'geology,', 'GIS', 'and', 'drilling', 'Engineering.']","['10', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Supervisor', ',', 'Entry-Level', ',', 'Graduate', ',']","['English', '(', 'USA', ')', ',']"
Geoscience Engineering (New),yes,No,K,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",8 minutes,"Mid-Professional, Professional Individual Contributor, Graduate,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'exploration', 'geology,', 'soil', 'mechanics,', 'rock', 'mechanics,', 'geophysical', 'investigation,', 'geological', 'surveying.']","['8', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',', 'Graduate', ',']","['English', '(', 'USA', ')', ',']"
GIT (New),yes,No,K,Multi-choice test that measures the knowledge of how to use GIT for version control.,13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/git-new/,"['Multi-choice', 'test', 'that', 'measures', 'the', 'knowledge', 'of', 'how', 'to', 'use', 'GIT', 'for', 'version', 'control.']","['13', 'minutes']","['Mid-Professional', ',', 'Professional', 'Individual', 'Contributor', ',']","['English', '(', 'USA', ')', ',']"
